,sentence,cat
501,I had to give them to my daughter.,-1.0
502,The top was almost too big and the bottoms were way too small!,1.0
503,Material was a very shabby quality.,3.0
504,I returned the product.,-1.0
505,"I liked it, but It was flawed.",3.0
506,It had a chip right in the front and glued globed around the silver part.,-1.0
507,I bought this for my 5 year old.,-1.0
508,The chain has snapped twice with very little pressure.,3.0
509,I ended up keeping the charm and putting it on a satin ribbon for her.,-1.0
510,It was broken and a piece of crap.,3.0
511,Would like my money returned,-1.0
512,Extremely small even when designated as extra large.,1.0
513,"Not true to size at all, I ordered one size higher than I normally wear and still two to three sizes too small.",1.0
514,Not happy at all with this product but still very cute.,3.0
515,"""Overwhelmed"" by a whole 5 cards and license and two bills; it's a struggle to force it to close and clasp and it just immediately pops back open.",-1.0
516,Don't bother with this garbage.,-1.0
517,They hug my toes a little too tight :(,1.0
518,Not worth the money.,-1.0
519,largest size is a joke.,1.0
520,"super cheap, but you get what you paid for.",3.0
521,china got me again.,-1.0
522,Very cheap & way too small (sizes are off),1.0
523,I wear a large in Us and these.,-1.0
524,Fit as a small.,1.0
525,The xlarge us more like a tight large.,1.0
526,The material is paper thin and shrunk rediculously.,3.0
527,Never ag s on will i purchase ANYTHING from this site.,-1.0
528,I used it twice and the handle broke very cheaply made.,3.0
529,I do not recommend buying this purse.,-1.0
530,The first time l tryied it on the metal part fell of,-1.0
531,Ordered 2xl for Christmas presents.,1.0
532,Love the pic on the shirt BUT it would take both shirts to make a 2xl.,1.0
533,I hate returning so I'll donate it.,-1.0
534,XL would not even fit one leg,1.0
535,Do not buy this it's not a bathing suit.,-1.0
536,"It says US sizes, I went by the sizing chart.",1.0
537,"I am normally a 3X, and I know online sizes are different, so I ordered the 5X just to be safe.",1.0
538,"Well I got it, and it was smaller than a 2X, I couldn't get it past my thighs.",1.0
539,There was Japanese or type of Asian writing on the tag inside the swimsuit.,-1.0
540,Not impressed at all.,-1.0
541,"Trying to resolve.....
Do not suggest unless you are not plus size...",1.0
542,"""XL"" tagged as received, but impossibly small for my only 40"" chest.",1.0
543,"Nicely made, but impossible to wear.",3.0
544,These mittens are not sized appropriately.,1.0
545,I ordered the 2-3 for my daughter who is 3 years old and they were huge.,1.0
546,They are very difficult to get on and kept coming off of her hands.,-1.0
547,I will be returning these.,-1.0
548,way too small and NO BUTTON HOLES.,1.0
549,Total piece of crap.,-1.0
550,I will never order their products again.,-1.0
551,I have included two photos - this is the first time I wore this shirt.,-1.0
552,I got home from a day of walking around to find that the image is falling off!!,-1.0
553,"Not fading for a vintage look but actually flaking right off the material so that, eventually, I will be left with a plain yellow shirt.",3.0
554,"These were pretty cute and I liked them a lot, but by the end of the day of 1st wearing them, there was a huge tear in the waistband.",3.0
555,"Bummed.. but decided to just sew it, then the rest of the waistband tore throughout the day!",-1.0
556,Fit okay when it first arrived but after one wash it shrunk like crazy.,1.0
557,The sleeves and torso are way short.,1.0
558,Not the best material or craftsmen ship.,3.0
559,Look else where for a cute top.,3.0
560,Buyer beware these are a Lie!,-1.0
561,My product was not as pictured.,3.0
562,I like the horizontal design however my earrings did not come with a straight post but instead it came with a hooked back.,3.0
563,I would have to wear the earrings upside down!!,3.0
564,Are you kidding me?,-1.0
565,"I used it once, and the joint between the ring that holds the strap, and the edge of the purse broke.",3.0
566,It wasn't even very full!!,-1.0
567,"Tried putting it back together but the actual bond is TINY, so there is no way to fix it.",1.0
568,NOT A BATHING SUIT.,-1.0
569,Zipper broke after one week,3.0
570,I do not like the top,-1.0
571,the material would not give at all and i could not even put one arm in it and i ordered a size larger than i wear i had to give it away to someone way smaller than me .,3.0
572,I wear a Med.,-1.0
573,and i order a large i believe I don't think I could have worn an extra large that is how small it would have been,1.0
574,"Bought this to go in my Louis Vuitton bag, and it collapsed and would stand up to hold anything.",-1.0
575,"Just ended up piling things on top of it, instead of keeping things organized inside it.",-1.0
576,"The first time my wife tried it on, it flew apart.",-1.0
577,The plastic thread that held it together came untied and it just fell into pieces.,3.0
578,I am returning it asap.,-1.0
579,Broke in 2 days,3.0
580,This dress will fit you if are a small....and I purchased a 3x!,1.0
581,I purchased this top in a XXL and I was completely amazed when I received the top (which by the way took almost a month).,1.0
582,The inside tag read XXL but the top looked like it could fit a small child!,1.0
583,I decided to try the top on anyways but I couldn't even get it over my shoulders!,1.0
584,"Needless to say, I ended up giving the top to one of my younger cousins, who may I add is a size 2.",1.0
585,She says that the top fits fine.,-1.0
586,So I will not purchase anything from this seller again!,-1.0
587,I would have given it zero stars if not for the fact that I had to rate something.,-1.0
588,"On a positive note, I will say that the shirt looks just like the picture.",3.0
0,"The material feels pretty cheap, not very soft.",3.0
1,Colors and pattern are pretty but the material kind of ruins it.,2.0
2,"I guess the ""fits as described"" reviews were particularly small women.",1.0
3,"Seller was also reluctant to refund due to ""shipping"", gave me a partial refund that was essentially a 30% discount.",0.0
4,Still too expensive for a shirt that may never be worn.,3.0
5,I could tell little or no difference when wearing these.,-1.0
6,They definitely did not measure up to the advertising rhetoric for me.,2.0
7,"PENDANT ON A THREAD, BE CAREFUL!",-1.0
8,"The quality of the fabric feels cheap, definitely not worth the price, even though they fit well.",3.0
9,"I can tell that after a few washes, the fabric would lose its stretch and would fade like a similar pair I bought a few months ago.",3.0
10,I cannot say I am pleased but will keep the dress and hope to wear it sometime.,3.0
11,It is not at all suitable for wearing to my son's wedding.,-1.0
12,"I received rose gold, not yellow gold",2.0
13,Not what I was expecting.,2.0
14,Not what I was expecting.,-1.0
15,I was hoping to get a cute Santa headband for my daughter's Christmas party.,3.0
16,I got sequined antlers and devil horns with Christmas pins glued to it.,3.0
17,I'll contact the company for a replacement.,3.0
18,Doesn't fit like other shirts I bought.,1.0
19,The color of the shirt in the illustration is not what I received.,2.0
20,"It is much darker, and yes, has a pronounced woven pattern.",2.0
21,It is not what I consider a traditional chambray cloth shirt.,2.0
22,"I suppose the advertised text sounds more appealing than than the actual ""Docker's Men's Blue One Pocket Woven Shirt.",2.0
23,Look else where if you want a Chambray shirt.,2.0
24,The purse is spacious but the bottom doesn't have any support to it.,3.0
25,I don't use this purse like I thought I would,-1.0
26,Fits like a large.,1.0
27,Faded after first wear.,2.0
28,It's an X-L but it fits like a medium.,1.0
29,"Although this dress is made of a very soft nylon/spandex material, the fit scale they provide is not accurate at all!",1.0
30,I normally where a size 8 or size medium.,1.0
31,I ordered this in a size large as i read a review that said it ran small.,1.0
32,It was sooo small i could not even get it zipped.,1.0
33,This dress is at least 2 if not 3 sizes smaller than the actual USA sizing it claims.,1.0
34,The USA size large is actually comparable  to a small.,1.0
35,My daughter wears a size 2 and the large fits her beautifully (at least it will be used by someone!,1.0
36,The shirt I got was not like the picture advertized.,2.0
37,I aas expecting to get a huge skull printed shirt with bright pink colors.,2.0
38,What I got was a big black shirt with a small skull patterned and it was even wrong color .,2.0
39,What I got was purple.,2.0
40,Bought this thinking it would be breastfeeding 'friendly' since it has buttons up the front.,3.0
41,"They're fake-as in, the shirt doesn't open with buttons-it's sewn shut.",3.0
42,"Also, as others have mentioned, it's really tight.",1.0
43,"I think if you're a person with curvy hips, don't bother with this one, it's too tight in this area.",1.0
44,Two big-- too unyielding.,1.0
45,Absolutely no structure at all.,3.0
46,I couldn't even figure out how to get it back into the pouch --it went back,-1.0
47,Nice shoe but one would not light up.,3.0
48,"As they were a gift, we did not know until it was past the 30 days to return and now the product is no longer available.",-1.0
49,"Looks just like the picture, but the sizes run insanely small.",1.0
50,"I ordered a large when I normally go small, and it's still too small.",1.0
51,It didn't seem to be sewn straight and was very tight.,3.0
52,Cheap foam not worth the money pieces fell off after second use,3.0
53,They look great but run small.,1.0
54,The bottoms does not match the top but i can mix and match it with other bathing suits I have,2.0
55,I had to return this dress because the neckline was uneven.,3.0
56,"One side of the Vneck was longer than the other, which made the dress lay uneven.",3.0
57,I would not suggest this to anyone.,3.0
58,I wear a women's size 7.,1.0
59,I ordered a men's 5 which is equivalent to a women's 7...they fit like an 8.,1.0
60,I like them but they don't fit.,1.0
61,I'll be returning them...although the box doesn't fit in the package they want them returned in.,1.0
62,"It's not too tight, wished it was longer, I'm only 5'4 and it's still too short, not like the picture",1.0
63,This robe is just as pictured.,3.0
64,"It is NOT LACE, it is made with inexpensive tulle with a lace trim.",3.0
65,"It was not comfortable, it was itchy and if your planning on wearing it for longer than a 30 min foreplay I would suggest soaking it in fabric softener.",3.0
66,I unfortunately didn't try this out until after my return period had ended.,3.0
67,I wear a small and fit into jeans 4-6 so I bought a small.,1.0
68,It only fits 2 inches above the knee.,1.0
69,It can't go any higher.,1.0
70,I also figured this would be really effortless to wear but instead it's bulky enough (without stuff inside it) and my thighs do touch enough that I can feel it rubbing my other thigh when I walk.,1.0
71,In any dress that doesn't have a flared skirt you can see it right through the fabric very obviously.,3.0
72,The black lace is pretty but I thought the pockets would all be within the beige fabric behind it.,3.0
73,Instead only one pocket is like that - for the others you can see the contents behind the lace and in front of the beige fabric.,3.0
74,In my experience wearing it for 20 minutes before I left the house it sagged and didn't seem to hold up on any place on my thigh.,3.0
75,And for the price....well I wish I had figured this out in time to send it back.,-1.0
76,I ended up buying a small crossbody for going out - more effective.,1.0
77,The material was is very stiff.,3.0
78,Not good for children.,-1.0
79,Was way to small.,1.0
80,Poor quality shirt cool design,3.0
81,not what I expected,-1.0
82,This jacket does not fit as it looks in the photo.,1.0
83,I spent another $45.- to try and get it to look like I expected.,2.0
84,I could have just spent $100.- and gotten a really nice jacket.,2.0
85,The material is somewhat of a stretchy jean.the dress didn't look nothing like the picture,3.0
86,"However, these are listed as size ""Adult"" and say 14+ on the package.",1.0
87,They don't actually fit an adult.,1.0
88,"They fit my 8 year old ""perfectly"".",1.0
89,I would have easily give 5 stars for this sweater because it looks so cute and exactly what I was looking for to wear with my brown leggings and brown boots.,2.0
90,"However, when I opened the package and tried on, I noticed a hole in the left pocket and the hem along the bottom is coming apart.",3.0
91,I've only worn once because I am scared to wash thinking it will completely fall apart.,3.0
92,"It's too bad the quality was poor since the look, color, and design of this sweater is great!",-1.0
93,The gem fellout within a week otherwise i loved it,3.0
94,"You get what you pay for, but my shorts were sewed together when they sewed the buttons on.",3.0
95,I had to fix my shorts before I could wear them.,3.0
96,"Took over a week to ship, when I finally received it the size was more like a kids size instead of an adult medium",0.0
97,Bottom fit very full and made me look much larger than I am.,1.0
98,"I liked the corset-like top, but isn't sturdy enough to stand up on it's own.",1.0
99,Red velvet had bad creases after a few minutes of wear.,3.0
100,These are not nylon they are thick black socks.,3.0
101,Not like the picture at all.,2.0
102,Still they fit as expected and do the job they are made for,1.0
103,"I will give it to my daughter , it fits little tight on me.",1.0
104,broke before i had a chance to try it on - clasp came off in my hand!,3.0
105,"Hides tummy well, easy to put on.",1.0
106,But I do not like the way my butt looks in it.,1.0
107,"It does lift my butt, but it also makes the shape look weird.",1.0
108,I do have a big bottom so maybe that's it,-1.0
109,"too small, some scratches on the leather",-1.0
110,Size was not what I hoping for.,1.0
111,I love the style of this jacket but the size's run's very small.,1.0
112,NICE BUT TOO SMALL,1.0
113,Very thin and does not drape the way it looks in the picture,3.0
114,Pretty dress however I did not care for the top for the reason being it wasn't cut very neatly.,3.0
115,Brim is good but can't tighten it enough with string in back.,3.0
116,Material for tightening doesn't hold in place.,3.0
117,We are considering returning it.,-1.0
118,"You can't beat the price but if you are buying this for a watch you are going to wear every day, you may want to reconsider.",-1.0
119,"It itches, and after about a week and a half I had a rash underneath the band.",3.0
120,not as i  thought it would fit,1.0
121,Is quite a bit bigger than I expected and short as well.,1.0
122,These are very pretty and very delicate.,3.0
123,After wearing for a only few days they broke.,3.0
124,I did take them out will sleeping and showering.,-1.0
125,Kinda bummed because I really liked them.,-1.0
126,Reviews are right.. way too small and I don't know how I could even wear this all day.,1.0
127,"Material is SO rigid and has no give which I understand why, but I wish there was some elasticity in it.",3.0
128,Will be returning this item,-1.0
129,Did not fit as expected,1.0
130,did not fit right,1.0
131,Definitely not what I expected for the price!!,3.0
132,I would say this is a $4.95 item at the most!,-1.0
133,"I must have paid for the ""free"" shipping on this item and it was poorly packaged just in a plastic mailing bag...",0.0
134,"to large in the boob area, the straps where placed in the wrong position for this to work properly.",1.0
135,and the lace over the boob section is already coming unstitched and i have not even wore it yet.,3.0
136,If these things were corrected it would be a great top.,-1.0
137,"Because the fit was too small (and I ordered a size larger than my normal), the shirt would curl/ride up when I moved in it.",1.0
138,"Runs small, not as cute in person",1.0
139,Fits exactly as I would expect any normal shirt to fit.,1.0
140,"Material is very synthetic, scratchy, and thin.",3.0
141,"This skirt had so many good reviews, I decided to try it.",-1.0
142,I didn't like it.,-1.0
143,"I bought it to wear in hot weather, but the material is not breathable at all.",3.0
144,The shape is also not as pictured - mine poofed out right under the belt line and went straight down like a brick.,1.0
145,Same diameter at the hips as at the knees looks very square.,1.0
146,"The pattern was pretty, but I returned it.",2.0
147,"Thankfully, no issues with return.",3.0
148,Part of the belt fell off the second time I wore it.,3.0
149,The only reason I'm giving it 2 stars is because it held my pants up.,-1.0
150,hard to move arms without exposing myself,1.0
151,"After reading the size chart and carefully choosing what was meant to be a size twelve to fourteen I ordered this what I received was about half that size, in fact if was tight on my sister who is a size six.",1.0
152,With the annoyance of returning things I chose just to give it to her.,-1.0
153,"I purchased ""this hat"" almost exactly 1 year ago.",-1.0
154,That was a 5 star purchase...,-1.0
155,I loved it but after many washes and my toddler getting his hands (and teeth) on the velcro it stopped holding well so I decided to buy another.,3.0
156,I noticed the price had gone up by a few dollars but figured it was a great hat so I'd go ahead and get a new one anyway.,-1.0
157,"I used the ""Buy it again"" button, verified that it was the same hat as before and clicked purchase.",-1.0
158,Quite disappointed with the had that showed up.,-1.0
159,"It is smaller in both brim and fit, the ventilation holes are no longer metal but wrapped in thread.",1.0
160,I'll keep it as a backup or something but will probably be stitching new velcro onto my other one since it actually fits and feels better.,3.0
161,Didn't like the way it looked too small,1.0
162,If you are a size LARGE and UP...just a warning.,1.0
163,The back of the material is white...and the more it stretches...the lighter they get.,3.0
164,Looked HORRID on me.,-1.0
165,"If you are Medium or smaller, very cute.",1.0
166,Find these printed tights with a BLACK background and you will be good!,2.0
167,ASK BEFORE YOU BUY.,-1.0
168,Never use it any more.,-1.0
169,"maybe im just fatter than i thought, but i got a size large and it feels like a snake is trying to squeeze me to death.",1.0
170,I really wanted to love this bag.,-1.0
171,The zipper broke the first time I used it.,3.0
172,The quality otherwise was what you'd expect for the price.,3.0
173,It was a little small for what I had in mind.,1.0
174,"It's not quite big enough for an overnight bag, but is similar in size to a diaper bag.",1.0
175,The refund was quick and painless.,-1.0
176,Large is more like a small!,1.0
177,The material was very thin and size runs very small.,1.0
178,"I'm currently 28 weeks pregnant, 155 lbs, 5'3"" and size 10 was way too small.",1.0
179,I would probably fit in size 14.,1.0
180,Somehow it wasn't what I expected.,-1.0
181,It's really bright and loud.,2.0
182,I thought the gold would be soft.,2.0
183,cheap materials.. you can only wear once or twice .. then it becomes put-me-in-trash condition... don't buy it!,3.0
184,I'm a small person skirt is to big zipper giving problems  I'm not pleased it Cost more to return than to buy,1.0
185,It looked like a giant piece of cloth.,1.0
186,Not right at all.,-1.0
187,Not even very warm.,3.0
188,"As a collegiate powerlifter I work out quite often and lift weights, so I have some muscle on my arms.",-1.0
189,This shirt fits great over my torso but the arms are quite small.,1.0
190,This makes wearing the shirt uncomfortable and look awkward because the sleeves can only slide up so far.,1.0
191,I would recommend this to someone who is slender and does not have muscular or larger than average arms.,1.0
192,It's cute but huge,1.0
193,The shirts see through.,3.0
194,.make sure to wear a top underneath.,-1.0
195,"One bunny (ball) is fixed onto the bar, and one broke off, so I can't even wear them (will glue it back on).",3.0
196,"I like to soak my jewelry in peroxide while I take a shower, so I don't feel like they are getting a good clean with one ball fixed.",-1.0
197,"The ears are also too heavy, causing the bunnies to flop dow and stick out.",3.0
198,"Also, be careful not to tighten too far because the screw threads will eventually become uneven and the bunnies will not lay the same.",3.0
199,"My suit fit perfectly, but arrived with a hole in the center of it  The material is very thin.",1.0
200,"It is short, it is small than expected and was not at all what I had hoped.",1.0
201,I will probable donate this dress to a second hand shop.,-1.0
202,"While the shoulder and hip width were the correct size, the length was WAASYYYY to short.",1.0
203,"I am petite and have a short body, but this was ridiculous.",1.0
204,I had the mega wedgie from hell!,1.0
205,Do not buy from this seller.,-1.0
206,"I bought two others from other sellers, and they fit fine all around.",1.0
207,didnt like them in comparison to saxx kinetic boxers.,-1.0
208,"these r much lighter and ride up ., Kinetic much better choice",3.0
209,thick OK material... didn't like the fit.. to loose and short...,1.0
210,We weren't thrilled with the way these sandals fit...they're like little stiff boards for baby feet!,1.0
211,They also fit pretty large on our 6 month old...I so wish they for better!,1.0
212,not enough support for the girls.,-1.0
213,"It's a very cute coat but definitely not bright yellow as pictured, more of a yellow ochre.",2.0
214,Was not as sheer as it looked in the pic.,2.0
215,Way too much sequin for me...looked like something for someone older...like in their 50's.,2.0
216,Definitely not something to wear with a material that pulls easily...it will mess it up.,3.0
217,"These were cute because they were DISNEY.....however, material is flimsy and not top quality, for sure.",3.0
218,"Stitching was irregular, collar trim was sloppy, no attention to detail.",3.0
219,Very pretty necklace but only got to wear it once.,-1.0
220,Was going to wear it a second time but the chain broke when I was putting it on.,3.0
221,"The skirt was well made, but I found the style to be more attractive on the hanger than on me.",-1.0
222,The fabric is thick and satiny and the pleats are fairly stiff so it stands out around your hips.,3.0
223,"Also, in person I found the cat heads disconcerting rather than cute.",-1.0
224,The small size fits like an XS.,1.0
225,Do not buy if you are over 5 ft 5.,1.0
226,"I'm 5'9"" and it didn't reach past my hips.",1.0
227,The skirt was too small.,1.0
228,I have three Style J skirts and this one was way tooo small.,1.0
229,I returned the skirt.,-1.0
230,The product is very well made.,3.0
231,Only thing is that the size chart indicated was not accurate.,1.0
232,They run about two sizes too small.,1.0
233,"Though I know they are to fit tight,  it was no where near it would close.",1.0
234,Fit small.... Get a bigger size or you going waste your money.....,1.0
235,I need to return for an exchange.,-1.0
236,"Also, the neckline of the tee is unusually large.",1.0
237,looks like it's been stretched out.,3.0
238,"It itches my ears, nice design though",3.0
239,"Incomplete stitching, needs repair before use.",3.0
240,"Hat listed said it was made in the United States, however the hat I received was made in China.",0.0
241,Will be returning this.,-1.0
242,Very disappointed as I really liked the watch in the picture.,2.0
243,"The watch did not work out of the box, so I tried to change the battery.",-1.0
244,"Without instructions, it was difficult.",-1.0
245,One has to be very dexterous in order to accomplish the task.,-1.0
246,"After I changed the battery, I discovered that the minute and second hand were stuck together, and when I tried to gently separate them, all the hands fell off.",3.0
247,The material was irritating and the dress was too short.,3.0
248,It fit on the upper  part but the bottom wasn't flattering.,1.0
249,These run very small.,1.0
250,Ignore the size chart order a size or 2 larger for USA women....if I knew it  was  coming from China I would have  ordered a larger size.,1.0
251,I just  requested a refund ..I'll see what happens,-1.0
252,The dress does not look like the photo,2.0
253,Did not fit well at all and the material was very uncomfortable.,-1.0
254,The fit is awkward.,1.0
255,Would not buy again.,-1.0
256,Too short and too tight,1.0
257,And I knew by the price it would not be the best quality- and also by the reviews that it would run small .,1.0
258,I ordered a large and it barely fit as a size 6.,1.0
259,I reordered an XL.,1.0
260,It came with an XL tag but fit exactly the same as the large.,1.0
261,How do I get my money back from China?,-1.0
262,"Thick and inconvenient...looks like it is not as was advertised, shipped another item..",3.0
263,"Ok, so...this swimsuit is cute.",2.0
264,"The top seems to be of good quality but, the Mermaid shorts/tail are very cheaply made.",3.0
265,My daughter wore this for a week and part of the shorts have turned all black.,2.0
266,"Low quality, cute gift for a child though at this price point.",3.0
267,it does not keep the squirrels out of my garden.,-1.0
268,i have tried on all settings.,-1.0
269,I returned the product.,-1.0
270,"Bought the ""green pebble"" one thinking it would be a nice evergreen color like in one of the highlighted reviews...Nope I opened it and saw this muted brown-green color that looks ugly.",2.0
271,Great interior though with the card slots.,3.0
272,Hard to free money from the clip.,-1.0
273,"Disappointed,especially for the cost",-1.0
274,"Not american sizing, and even when ordered larger did not fit",1.0
275,Way too small and if you wear any pant over size 6 you will look ridiculous.,1.0
276,"too long to deliver, poor quality run small.",0.0
277,Ordered a large and it was the size of a small shirt.,1.0
278,"It came on time and as described , HOWEVER it broke in 2 weeks .",-1.0
279,The straps slowly started to brake one by one until the straps came off completely.,3.0
280,"the zipper doesn't work well , itll only zip some of it and both zippers popped off .",3.0
281,the outside pockets on the side (black) made bigger holes if you put any pens/pencils in it,3.0
282,It runs very small.,1.0
283,It is also very short.,1.0
284,I bought this item twice and it still didn't fit.,1.0
285,The material is very nice and it is a pretty dress.,3.0
286,Wishes they ran in much bigger sizes.,1.0
287,Good design however way to small evenif an xxl is ordered,1.0
288,"Way too small, and the fabric is much thinner than I was expecting.",1.0
289,Design ruined by their cheesy logo stuck in an awkward spot.,2.0
290,"They hurt my feet, i had to return them.",1.0
291,Received 4 red mittens instead of the 6 color variety as promised and outlined in listing.,-1.0
292,Seller originally was communicating with me on getting me the missing mittens but has since gone radio silent.,0.0
293,I would not recommend this item if you are expecting 6 different colors.,-1.0
294,"Although the size and measurements were what I needed, It was much smaller than I expected...sleeves were very snug, and could barely pull i over my chest.",1.0
295,I guess the cut was a bit off.,1.0
296,"I will use it for a gift as it is too small for me and the XL is only slightly bigger, so it will be snug as well.",1.0
297,"will not order from this merchant unless I drop 30  pounds, which is unlikely",1.0
298,"Way too small, it's cute though,  I wish it fit.",1.0
299,I bought a couple of these two of them broke as soon as we put them on,3.0
300,These were 18g and they were about 12mm wide.,1.0
301,They were too big on my nose and I down sized to 20g.,1.0
302,I was excited to receive my socks then I noticed the socks weren't the same color as they are in the picture.,2.0
303,They are a light green instead on a darkish green.,2.0
304,The light green ends up making the socks look very weird.,2.0
305,Product seems we're very messed up - sending back!,-1.0
306,Sleeves are too small.,1.0
307,"The cut is described as slim it, it should read more like shrink wrap.",1.0
308,When considering this product note: order two to three sizes up from what you would normally wear.,1.0
309,The cufflink buttons are also very cheap and are hard to unbutton.,3.0
310,I usually love PattiBoutik but this dress was a bit of a bummer.,-1.0
311,It was really tight and the fabric was scratchy (think wool socks).,3.0
312,The dress is also really short (it covered my butt with only a few inches to spare).,1.0
313,I usually wear a medium in their shirts but the medium dress was really snug and uncomfortable in the arms.,1.0
314,It's pretty but i got it for myself and its small like it would fit a Child.,1.0
315,i put it on and it was like a choker on me if you like that kind of look,1.0
316,"I ordered this because I needed a white purse to match my shoes but it is more of a tan color, Not white!",2.0
317,I ordered a different one and I hope this one will be white!,2.0
318,Cute but sized way too small.,1.0
319,"Bought a 7, fits like a 5.",1.0
320,I was very disappointed in this dress.,-1.0
321,Going to make it into a dust rag.,-1.0
322,It works better as that than a dress.,-1.0
323,The sizing chart is way off.,1.0
324,This shirt was so small it wouldn't even fit over my head.,1.0
325,Can't return it because it comes from China and took over a month to receive it and is to expense to ship back.,0.0
326,Lesson learned to never order anything from over seas.,0.0
327,Where is all the American made things?,-1.0
328,"I bought these to wear on a daily basis, but after a week I had to take them out.",-1.0
329,Recently they rubbed off and then turned my ears green.,3.0
330,"Nice to wear for a couple of hours, not so nice if you want them as a regular wear.",3.0
331,These would have been the perfect color for a costume I need if they fit.,-1.0
332,They are a good length but you would have to be a twig to squeeze into these leggings.,1.0
333,"It fits the description, but they are ugly..super thick and a weird material.",3.0
334,They will sit in my closet til I can give them away.rough itchy material,3.0
335,Make sure you wash alone inside out...I washed it once and now it is unwearable due to fading...she had worn it once!!!!!,3.0
336,Was too big in bust area and too short.,1.0
337,"I am 5'6"" and the waist band part didn't lay where it should and if I pulled it up to there it was a little to short.",1.0
338,It is silky soft just not proportionate.,3.0
339,"The lace was nice and stretchy, and it really could face been cute, but the collar didn't even wrap the whole way around the neck, and the button to hold it together didn't really do its job...",3.0
340,"There were loops of thread sticking out, as well.",3.0
341,"I suppose these things can be fixed by a tailor, or yourself if you know anything about sewing, and if so, go for it!",-1.0
342,"But otherwise, I don't recommend it.",-1.0
343,"They were beautiful, perfect weight, just right purple color but way too small.",-1.0
344,"I was very disappointed in the fit, so I returned them.",-1.0
345,I ordered 2 other pairs feim 2 other vendors and their size charts were spot on.,1.0
346,This vendor should revisit its size chart.,1.0
347,"Color & style are nice, but not the material I expected.",-1.0
348,Kind of cheap looking,3.0
349,Cheap material broke when I was trying to put it on,3.0
350,I ordered a medium- fit more like a large.,1.0
351,I think I'll like the outfit more once I get it taken in so that it fits properly.,1.0
352,It was much smaller than expected.,1.0
353,Print and fabric very nice.,3.0
354,I ordered XL but it fits my daughter who is a medium.,1.0
355,Size runs smaller than it should,1.0
356,too small and I did not like the material,1.0
357,I don't like.the material  and  it was too long,-1.0
358,It looks like a Halloween costume because of the thin & stretchy material.,3.0
359,I've had it for a few months and still haven't wore it.,-1.0
360,Very tight and uncomfortable and quality lacking .. very thin material,3.0
361,The sizing of the shirt is wrong this shirt is to short,1.0
362,FIRST AND FOREMOST THE SHIRT IS NOT BLACK!!,2.0
363,I received a navy blue plaid shirt which instantly threw me off.,2.0
364,I have purchased this to wear over a number of black outfits for a upcoming trip and sadly now I can't because it doesn't match.,2.0
365,"As for the fit I am 5'0, 160 pounds.",1.0
366,Length wise it was perfect and it fit on the arms but it was just a step away from being too tight.,1.0
367,It does say one size fits all but I would advise anyone with larger arms/wears bigger than a medium in tops not to buy it.,1.0
368,Plus it isn't the right color.,2.0
369,"Two small in the crotch, also ripped in the crotch.",1.0
370,The product does look like the picture and the price was great.,3.0
371,I just was upset to see how thin the material is.,3.0
372,Its not something you could wear in a pool or out for that matter.,3.0
373,I was so upset because after I received this swim suit I didn't have time to find another.,-1.0
374,The only reason I didn't give it one star is because I got exactly what I paid for.,-1.0
375,I wish I would've just spent more money to get something with a better quality.,3.0
376,I bought 5 of them and was very disappointed.,-1.0
377,"Nothing to give an adult, might be good for children, but frankly would not waste your money.",3.0
378,Shipping took a while because it was coming from China.,0.0
379,I received it and the colors were correct (I got the tan color).,2.0
380,I ordered XXL 35-36 waist 46 in the hips.,1.0
381,Everything fits except the waist was baggy.,1.0
382,The material is stretchy.,3.0
383,It feels like a thick t shirt.,3.0
0,Normalement o/s me fait mais l le matriel ne s'tire pas beaucoup.,-1.0
1,J'ai des cuisses normale (je porte mdium) mais fait pour plus petite je crois.,-1.0
2,De bonne qualit et couleur rose vif.,-1.0
3,"Love this tank, but it is way way too small.",1.0
4,I usually wear a medium.,1.0
5,I'm thinking of returning and buying a large.,1.0
6,The long strap broke the day I took the purse out of the package.,3.0
7,Unfortunate because bag is great,-1.0
8,"I got a medium and I usually am a small or medium and the medium was still to tight, but it was really cute.",1.0
9,"Pros: The shipping was faster than expected, and it is comfortable.",0.0
10,Cons: I'm a 34 C and when you put it on the areas covering stretches and it looks like you have two little diamond coverings under a lace bralette.,1.0
11,But with a white bandeau top I think it's an easy fix.,-1.0
12,I ordered the colorful flower.,2.0
13,"The pic is of orange, yellow, green, teal and white background.",2.0
14,"The one I got is red, blue and pinkish background.",2.0
15,"The fit is nice, but the fabric is too thin.",-1.0
16,It will probably not last very long.,3.0
17,But for the price....,-1.0
18,Was too small for my daughter,1.0
19,I'm 5'4 145 pounds and I normally order a medium.,1.0
20,I had the hardest time pulling the bottoms up but other than really cute,-1.0
21,Strings attached to each pair of mitts pulled off during first use.,3.0
22,"Well I was pretty satisfied with the purchase; the material looks nice, and feels nice on the skin, so no trouble there... the only issue I have with it... is there is not one tiny strip of elastic on the outfit.",-1.0
23,It has NO stretch to it.,3.0
24,"So be warned if you're a 'meatier' person, or even a guy like me.",1.0
25,I hope you're pretty small!,1.0
26,Quality is not too bad.,3.0
27,Had to cut loose threads.,3.0
28,It is not a one size fit all.,1.0
29,If you wear a small then you are good.,1.0
30,"Any larger size needed, recommend buying a sized type lace thong.",1.0
31,smaller than appears on site.,1.0
32,But worked for the 1 day the boys had to wear them,-1.0
